Country_ISO3,Year,revisedRequirements,INFORM Severity Index,Plan_Count,CERF_Funding,CBPF_Budget,Total_Actual_Funding,Funding_Gap,Pct_Funded
AGO,2025,781325185,3.2,1,1799873.54,0.0,1799873.54,779525311.46,0.23
MWI,2025,57478430,3.2,1,0.0,0.0,0.0,57478430.0,0.0
UGA,2025,2106680602,3.2,3,2500015.71,0.0,2500015.71,2104180586.29,0.12
PHL,2025,67523004,3.1,1,5948201.04,0.0,5948201.04,61574802.96,8.81
ZMB,2025,872244219,3.1,2,4750423.52,0.0,4750423.52,867493795.48,0.54
JOR,2025,4695986530,3.0,1,0.0,0.0,0.0,4695986530.0,0.0
PER,2025,1395806906,3.0,1,0.0,0.0,0.0,1395806906.0,0.0
SLV,2025,66923449,2.9,1,0.0,0.0,0.0,66923449.0,0.0
MEX,2025,1395806906,2.8,1,0.0,0.0,0.0,1395806906.0,0.0
DJI,2025,183861165,2.7,1,0.0,0.0,0.0,183861165.0,0.0
CHL,2025,1395806906,2.6,1,0.0,0.0,0.0,1395806906.0,0.0
CRI,2025,2791613812,2.6,1,0.0,0.0,0.0,2791613812.0,0.0
BRA,2025,1395806906,2.5,1,0.0,0.0,0.0,1395806906.0,0.0
PAN,2025,1395806906,2.5,1,0.0,0.0,0.0,1395806906.0,0.0
TZA,2025,2527836720,2.5,2,0.0,0.0,0.0,2527836720.0,0.0
RWA,2025,781325185,2.4,1,0.0,0.0,0.0,781325185.0,0.0
EGY,2025,5307747252,2.2,2,0.0,0.0,0.0,5307747252.0,0.0
MDA,2025,690313063,2.1,1,0.0,0.0,0.0,690313063.0,0.0
DOM,2025,1395806906,2.0,1,0.0,0.0,0.0,1395806906.0,0.0
TTO,2025,1395806906,1.3,1,0.0,0.0,0.0,1395806906.0,0.0
