date,articles,frac
2021-01-01 00:00:00+00:00,506,0.005993840322198531
2021-01-02 00:00:00+00:00,425,0.005839837309002968
2021-01-03 00:00:00+00:00,534,0.007403915478897454
2021-01-04 00:00:00+00:00,1542,0.01175941248694034
2021-01-05 00:00:00+00:00,1169,0.007623283293988758
2021-01-06 00:00:00+00:00,1185,0.00733228556931949
2021-01-07 00:00:00+00:00,1367,0.008311242977698873
2021-01-08 00:00:00+00:00,1208,0.008045609548167094
2021-01-09 00:00:00+00:00,782,0.008076426542731732
2021-01-10 00:00:00+00:00,664,0.008559789614809467
2021-01-11 00:00:00+00:00,1266,0.009271464979347922
2021-01-12 00:00:00+00:00,2044,0.013071226674511108
2021-01-13 00:00:00+00:00,1563,0.008970849045233053
2021-01-14 00:00:00+00:00,1247,0.007302433168389307
2021-01-15 00:00:00+00:00,1204,0.007546507546507547
2021-01-16 00:00:00+00:00,694,0.007434545999914299
2021-01-17 00:00:00+00:00,673,0.008228389778701552
2021-01-18 00:00:00+00:00,1304,0.010159482053399609
2021-01-19 00:00:00+00:00,1426,0.00904139640753492
2021-01-20 00:00:00+00:00,1680,0.010535557506584723
2021-01-21 00:00:00+00:00,1203,0.007446426581824034
2021-01-22 00:00:00+00:00,1255,0.007735644369930225
2021-01-23 00:00:00+00:00,711,0.007903776248652133
2021-01-24 00:00:00+00:00,577,0.007562551607533717
2021-01-25 00:00:00+00:00,982,0.007024119481559898
2021-01-26 00:00:00+00:00,969,0.005892225181509723
2021-01-27 00:00:00+00:00,1232,0.007149655284477355
2021-01-28 00:00:00+00:00,1060,0.006170252398249045
2021-01-29 00:00:00+00:00,1245,0.007618033629488215
2021-01-30 00:00:00+00:00,599,0.006345607864740031
2021-01-31 00:00:00+00:00,618,0.007747564782428824
2021-02-01 00:00:00+00:00,1199,0.007906363336630398
2021-02-02 00:00:00+00:00,1353,0.007873465896195947
2021-02-03 00:00:00+00:00,1243,0.007232967902613877
2021-02-04 00:00:00+00:00,1324,0.008223347101021707
2021-02-05 00:00:00+00:00,1236,0.007984289811632775
2021-02-06 00:00:00+00:00,732,0.007927654735474089
2021-02-07 00:00:00+00:00,525,0.006485164414358772
2021-02-08 00:00:00+00:00,1225,0.008525831529568977
2021-02-09 00:00:00+00:00,1278,0.0078077747841865065
2021-02-10 00:00:00+00:00,1227,0.007239407867177221
2021-02-11 00:00:00+00:00,1303,0.007921020796479005
2021-02-12 00:00:00+00:00,822,0.005372935309074509
2021-02-13 00:00:00+00:00,456,0.004625637800387499
2021-02-14 00:00:00+00:00,410,0.004988562807222465
2021-02-15 00:00:00+00:00,1066,0.008455821110996534
2021-02-16 00:00:00+00:00,1254,0.008214278695934128
2021-02-17 00:00:00+00:00,1313,0.007971925222977117
2021-02-18 00:00:00+00:00,1696,0.009914360038581826
2021-02-19 00:00:00+00:00,1310,0.008509698457860752
2021-02-20 00:00:00+00:00,617,0.006786782822949666
2021-02-21 00:00:00+00:00,590,0.007489875972731774
2021-02-22 00:00:00+00:00,1380,0.009654467989841821
2021-02-23 00:00:00+00:00,1269,0.007873527203687962
2021-02-24 00:00:00+00:00,1518,0.009251077159346453
